SourceWebsite,City,Country,ScrapeDateTime,Condition,CleanCondition,NormalizedCondition
Open-Meteo,Auckland,New Zealand,2026-03-03 00:00:00+00:00,clear sky,clear sky,clear
Open-Meteo,Beirut,Lebanon,2026-03-03 00:00:00+00:00,clear sky,clear sky,clear
Open-Meteo,Buenos Aires,Argentina,2026-03-03 00:00:00+00:00,overcast,overcast,cloudy
Open-Meteo,Dubai,United Arab Emirates,2026-03-03 00:00:00+00:00,clear sky,clear sky,clear
Open-Meteo,London,United Kingdom,2026-03-03 00:00:00+00:00,clear sky,clear sky,clear
Open-Meteo,Los Angeles,United States,2026-03-03 00:00:00+00:00,clear sky,clear sky,clear
Open-Meteo,Madrid,Spain,2026-03-03 00:00:00+00:00,light drizzle,light drizzle,rain
Open-Meteo,Mexico City,Mexico,2026-03-03 00:00:00+00:00,clear sky,clear sky,clear
Open-Meteo,Mumbai,India,2026-03-03 00:00:00+00:00,clear sky,clear sky,clear
Open-Meteo,Nairobi,Kenya,2026-03-03 00:00:00+00:00,overcast,overcast,cloudy
Open-Meteo,New York,United States,2026-03-03 00:00:00+00:00,clear sky,clear sky,clear
Open-Meteo,Paris,France,2026-03-03 00:00:00+00:00,clear sky,clear sky,clear
Open-Meteo,Rome,Italy,2026-03-03 00:00:00+00:00,overcast,overcast,cloudy
Open-Meteo,Seoul,South Korea,2026-03-03 00:00:00+00:00,slight snow,slight snow,snow
Open-Meteo,São Paulo,Brazil,2026-03-03 00:00:00+00:00,overcast,overcast,cloudy
Open-Meteo,Temasek,Singapore,2026-03-03 00:00:00+00:00,overcast,overcast,cloudy
Open-Meteo,Tokyo,Japan,2026-03-03 00:00:00+00:00,overcast,overcast,cloudy
Open-Meteo,Toronto,Canada,2026-03-03 00:00:00+00:00,overcast,overcast,cloudy
Open-Meteo,Auckland,New Zealand,2026-03-03 01:00:00+00:00,clear sky,clear sky,clear
Open-Meteo,Beirut,Lebanon,2026-03-03 01:00:00+00:00,clear sky,clear sky,clear
Open-Meteo,Buenos Aires,Argentina,2026-03-03 01:00:00+00:00,overcast,overcast,cloudy
Open-Meteo,Dubai,United Arab Emirates,2026-03-03 01:00:00+00:00,clear sky,clear sky,clear
Open-Meteo,London,United Kingdom,2026-03-03 01:00:00+00:00,clear sky,clear sky,clear
Open-Meteo,Los Angeles,United States,2026-03-03 01:00:00+00:00,clear sky,clear sky,clear
Open-Meteo,Madrid,Spain,2026-03-03 01:00:00+00:00,light drizzle,light drizzle,rain
Open-Meteo,Mexico City,Mexico,2026-03-03 01:00:00+00:00,clear sky,clear sky,clear
Open-Meteo,Mumbai,India,2026-03-03 01:00:00+00:00,clear sky,clear sky,clear
Open-Meteo,Nairobi,Kenya,2026-03-03 01:00:00+00:00,light drizzle,light drizzle,rain
Open-Meteo,New York,United States,2026-03-03 01:00:00+00:00,clear sky,clear sky,clear
Open-Meteo,Paris,France,2026-03-03 01:00:00+00:00,clear sky,clear sky,clear
Open-Meteo,Rome,Italy,2026-03-03 01:00:00+00:00,mainly clear,mainly clear,clear
Open-Meteo,Seoul,South Korea,2026-03-03 01:00:00+00:00,light drizzle,light drizzle,rain
Open-Meteo,São Paulo,Brazil,2026-03-03 01:00:00+00:00,overcast,overcast,cloudy
