SourceWebsite,City,Country,ScrapeDateTime,Temperature_C,FeelsLike_C,Humidity_%,WindSpeed_kmh,Condition,Precipitation
TimeAndDate,Beirut,Lebanon,2026-03-30T12:19:16.777393+00:00,12.0,,,,Scattered clouds.,
TimeAndDate,Beirut,Lebanon,2026-03-29,24.0,,96.0,,nan,
TimeAndDate,Beirut,Lebanon,2026-03-28,24.0,,96.0,,nan,
TimeAndDate,Beirut,Lebanon,2026-03-30T12:19:37.650169+00:00,12.0,,,,Scattered clouds.,
TimeAndDate,New York,United States,2026-03-30T12:19:52.614339+00:00,9.0,,,,Sunny.,
TimeAndDate,New York,United States,2026-03-29,24.0,,100.0,,nan,
TimeAndDate,New York,United States,2026-03-28,24.0,,100.0,,nan,
TimeAndDate,Los Angeles,United States,2026-03-30T12:19:57.241948+00:00,14.0,,,,Fog.,
TimeAndDate,Los Angeles,United States,2026-03-29,35.0,,97.0,,nan,
TimeAndDate,Los Angeles,United States,2026-03-28,35.0,,97.0,,nan,
TimeAndDate,Chicago,United States,2026-03-30T12:20:01.582943+00:00,11.0,,,,Passing clouds.,
TimeAndDate,Chicago,United States,2026-03-29,25.0,,96.0,,nan,
TimeAndDate,Chicago,United States,2026-03-28,25.0,,96.0,,nan,
TimeAndDate,Toronto,Canada,2026-03-30T12:20:05.744303+00:00,6.0,,,,Passing clouds.,
TimeAndDate,Toronto,Canada,2026-03-29,13.0,,100.0,,nan,
TimeAndDate,Toronto,Canada,2026-03-28,13.0,,100.0,,nan,
TimeAndDate,Mexico City,Mexico,2026-03-30T12:20:09.806379+00:00,10.0,,,,Passing clouds.,
TimeAndDate,Mexico City,Mexico,2026-03-29,26.0,,100.0,,nan,
TimeAndDate,Mexico City,Mexico,2026-03-28,26.0,,100.0,,nan,
TimeAndDate,Sao Paulo,Brazil,2026-03-30T12:20:14.271472+00:00,22.0,,,,Sunny.,
TimeAndDate,Sao Paulo,Brazil,2026-03-29,31.0,,100.0,,nan,
TimeAndDate,Sao Paulo,Brazil,2026-03-28,31.0,,100.0,,nan,
TimeAndDate,Buenos Aires,Argentina,2026-03-30T12:20:18.261669+00:00,23.0,,,,Fog.,
TimeAndDate,Buenos Aires,Argentina,2026-03-29,32.0,,100.0,,nan,
TimeAndDate,Buenos Aires,Argentina,2026-03-28,32.0,,100.0,,nan,
TimeAndDate,London,United Kingdom,2026-03-30T12:20:22.413655+00:00,10.0,,,,Scattered clouds.,
TimeAndDate,London,United Kingdom,2026-03-29,20.0,,100.0,,nan,
TimeAndDate,London,United Kingdom,2026-03-28,20.0,,100.0,,nan,
TimeAndDate,Paris,France,2026-03-30T12:20:27.999166+00:00,12.0,,,,Broken clouds.,
TimeAndDate,Paris,France,2026-03-29,17.0,,100.0,,nan,
TimeAndDate,Paris,France,2026-03-28,17.0,,100.0,,nan,
TimeAndDate,Berlin,Germany,2026-03-30T12:20:32.775685+00:00,7.0,,,,Sprinkles. Partly sunny.,
TimeAndDate,Berlin,Germany,2026-03-29,16.0,,100.0,,nan,
TimeAndDate,Berlin,Germany,2026-03-28,16.0,,100.0,,nan,
TimeAndDate,Madrid,Spain,2026-03-30T12:20:38.098779+00:00,13.0,,,,Sunny.,
TimeAndDate,Madrid,Spain,2026-03-29,21.0,,100.0,,nan,
TimeAndDate,Madrid,Spain,2026-03-28,21.0,,100.0,,nan,
TimeAndDate,Rome,Italy,2026-03-30T12:20:42.838498+00:00,17.0,,,,Sunny.,
TimeAndDate,Rome,Italy,2026-03-29,20.0,,94.0,,nan,
TimeAndDate,Rome,Italy,2026-03-28,20.0,,94.0,,nan,
TimeAndDate,Cairo,Egypt,2026-03-30T12:20:50.855288+00:00,22.0,,,,Partly sunny.,
TimeAndDate,Cairo,Egypt,2026-03-29,27.0,,88.0,,nan,
TimeAndDate,Cairo,Egypt,2026-03-28,27.0,,88.0,,nan,
TimeAndDate,Nairobi,Kenya,2026-03-30T12:20:55.030581+00:00,26.0,,,,Partly sunny.,
TimeAndDate,Nairobi,Kenya,2026-03-29,27.0,,94.0,,nan,
TimeAndDate,Nairobi,Kenya,2026-03-28,27.0,,94.0,,nan,
